"tagfield","liblibrarian","libopac","repeatable","mandatory","authorised_value","frameworkcode"
"245","k","Form","Form","1","0","","2","","","","","-6","","","","","9999"
"245","n","Number of part/section of a work","Number of part/section of a work","1","0","","2","","","","","-6","","","","","9999"
"245","p","Name of part/section of a work","Name of part/section of a work","1","0","","2","","","","","-6","","","","","9999"
"245","s","Version","Version","0","0","","2","","","","","-6","","","","","9999"
"246","5","Institution to which field applies","Institution to which field applies","0","0","","2","","","","","-6","","","","","9999"
"246","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"246","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"246","a","Title proper/short title","Title proper/short title","0","0","","2","","","","","-1","","","","","9999"
"246","b","Remainder of title","Remainder of title","0","0","","2","","","","","-1","","","","","9999"
"246","d","Designation of section/part/series (SE) [OBSOLETE]","Designation of section section/part/series (SE) [OBSOLETE]","0","0","","2","","","","","-6","","","","","9999"
"246","e","Name of part/section/series (SE) [OBSOLETE]","Name of part/section/series (SE) [OBSOLETE]","0","0","","2","","","","","-6","","","","","9999"
"246","f","Date or sequential designation","Date or sequential designation","0","0","","2","","","","","-6","","","","","9999"
"246","g","Miscellaneous information","Miscellaneous information","0","0","","2","","","","","-6","","","","","9999"
"246","h","Medium","Medium","0","0","","2","","","","","-1","","","","","9999"
"246","i","Display text","Display text","0","0","","2","","","","","-1","","","","","9999"
"246","n","Number of part/section of a work","Number of part/section of a work","1","0","","2","","","","","-6","","","","","9999"
"246","p","Name of part/section of a work","Name of part/section of a work","1","0","","2","","","","","-6","","","","","9999"
"247","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"247","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"247","a","Title","Title","0","0","","2","","","","","-1","","","","","9999"
"247","b","Remainder of title","Remainder of title","0","0","","2","","","","","-1","","","","","9999"
"247","d","Designation of section (SE) [OBSOLETE]","Designation of section (SE) [OBSOLETE]","0","0","","2","","","","","-6","","","","","9999"
"247","e","Name of part/section (SE) [OBSOLETE]","Name of part/section (SE) [OBSOLETE]","0","0","","2","","","","","-6","","","","","9999"
"247","f","Date or sequential designation","Date or sequential designation","0","0","","2","","","","","-6","","","","","9999"
"247","g","Miscellaneous information","Miscellaneous information","0","0","","2","","","","","-6","","","","","9999"
"247","h","Medium","Medium","0","0","","2","","","","","-1","","","","","9999"
"247","n","Number of part/section of a work","Number of part/section of a work","1","0","","2","","","","","-6","","","","","9999"
"247","p","Name of part/section of a work","Name of part/section of a work","1","0","","2","","","","","-6","","","","","9999"
"247","x","International Standard Serial Number","International Standard Serial Number","0","0","","2","","","","","-6","","","","","9999"
"250","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"250","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"250","a","Edition statement","Edition statement","0","0","biblioitems.editionstatement","2","","","","","0","","","","","9999"
"250","b","Remainder of edition statement","Remainder of edition statement","0","0","","2","","","","","0","","","","","9999"
"254","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"254","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"254","a","Musical presentation statement","Musical presentation statement","0","0","","2","","","","","-6","","","","","9999"
"255","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"255","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"255","a","Statement of scale","Statement of scale","1","0","","2","","","","","-6","","","","","9999"
"255","b","Statement of projection","Statement of projection","1","0","","2","","","","","-6","","","","","9999"
"255","c","Statement of coordinates","Statement of coordinates","1","0","","2","","","","","-6","","","","","9999"
"255","d","Statement of zone","Statement of zone","0","0","","2","","","","","-6","","","","","9999"
"255","e","Statement of equinox","Statement of equinox","0","0","","2","","","","","-6","","","","","9999"
"255","f","Outer G-ring coordinate pairs","Outer G-ring coordinate pairs","0","0","","2","","","","","-6","","","","","9999"
"255","g","Exclusion G-ring coordinate pairs","Exclusion G-ring coordinate pairs","0","0","","2","","","","","-6","","","","","9999"
"256","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"256","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"256","a","Computer file characteristics","Computer file characteristics","0","0","","2","","","","","-6","","","","","9999"
"257","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"257","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"257","a","Country of producing entity","Country of producing entity","0","0","","2","","","","","-6","","","","","9999"
"258","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"258","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"258","a","Issuing jurisdiction","Issuing jurisdiction","0","0","","2","","","","","-6","","","","","9999"
"258","b","Denomination","Denomination","0","0","","2","","","","","-6","","","","","9999"
"260","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"260","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"260","a","Place of publication, distribution, etc","Place of publication, distribution, etc","1","0","biblioitems.place","2","","","","","0","","","","","9999"
"260","b","Name of publisher, distributor, etc","Name of publisher, distributor, etc","1","0","biblioitems.publishercode","2","","","","","0","","","","","9999"
"260","c","Date of publication, distribution, etc","Date of publication, distribution, etc","1","0","biblio.copyrightdate","2","","","","","0","","","","","9999"
"260","d","Plate or publisher's number for music (Pre-AACR 2) [OBSOLETE, CAN/MARC], [LOCAL, USA]","Plate or publisher's number for music (Pre-AACR 2) [OBSOLETE, CAN/MARC], [LOCAL, USA]","0","0","","2","","","","","-6","","","","","9999"
"260","e","Place of manufacture","Place of manufacture","1","0","","2","","","","","-6","","","","","9999"
"260","f","Manufacturer","Manufacturer","1","0","","2","","","","","-6","","","","","9999"
"260","g","Date of manufacture","Date of manufacture","0","0","","2","","","","","-6","","","","","9999"
"260","k","Identification/manufacturer number [OBSOLETE, CAN/MARC]","Identification/manufacturer number [OBSOLETE, CAN/MARC]","0","0","","2","","","","","-6","","","","","9999"
"260","l","Matrix and/or take number [OBSOLETE, CAN/MARC]","Matrix and/or take number [OBSOLETE, CAN/MARC]","0","0","","2","","","","","-6","","","","","9999"
"261","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"261","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"261","a","Producing company","Producing company","1","0","","2","","","","","-6","","","","","9999"
"261","b","Releasing company (primary distributor)","Releasing company (primary distributor)","1","0","","2","","","","","-6","","","","","9999"
"261","c","Date of production, release, etc.","Date of production, release, etc.","1","0","","2","","","","","-6","","","","","9999"
"261","d","Date of production, release, etc.","Date of production, release, etc.","1","0","","2","","","","","-6","","","","","9999"
"261","e","Contractual producer","Contractual producer","1","0","","2","","","","","-6","","","","","9999"
"261","f","Place of production, release, etc.","Place of production, release, etc.","1","0","","2","","","","","-6","","","","","9999"
"262","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"262","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"262","a","Place of production, release, etc.","Place of production, release, etc.","0","0","","2","","","","","-6","","","","","9999"
"262","b","Publisher or trade name","Publisher or trade name","0","0","","2","","","","","-6","","","","","9999"
"262","c","Date of production, release, etc.","Date of production, release, etc.","0","0","","2","","","","","-6","","","","","9999"
"262","k","Serial identification","Serial identification","0","0","","2","","","","","-6","","","","","9999"
"262","l","Matrix and/or take number","Matrix and/or take number","0","0","","2","","","","","-6","","","","","9999"
"263","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"263","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"263","a","Projected publication date","Projected publication date","0","0","","2","","","","","-6","","","","","9999"
"265","6","Linkage [OBSOLETE]","Linkage [OBSOLETE]","0","0","","2","","","","","-6","","","","","9999"
"265","a","Source for acquisition/subscription address [OBSOLETE]","Source for acquisition/subscription address [OBSOLETE]","1","0","","2","","","","","-6","","","","","9999"
"270","4","Relator code","Relator code","1","0","","2","","","","","-6","","","","","9999"
"270","6","Linkage","Linkage","0","0","","2","","","","","-6","","","","","9999"
"270","8","Field link and sequence number","Field link and sequence number","1","0","","2","","","","","-6","","","","","9999"
"270","a","Address","Address","1","0","","2","","","","","-1","","","","","9999"
"270","b","City","City","0","0","","2","","","","","-1","","","","","9999"
"270","c","State or province","State or province","0","0","","2","","","","","-1","","","","","9999"
"270","d","Country","Country","0","0","","2","","","","","-1","","","","","9999"
"270","e","Postal code","Postal code","0","0","","2","","","","","-1","","","","","9999"
"270","f","Terms preceding attention name","Terms preceding attention name","0","0","","2","","","","","-1","","","","","9999"
"270","g","Attention name","Attention name","0","0","","2","","","","","-1","","","","","9999"
"270","h","Attention position","Attention position","0","0","","2","","","","","-1","","","","","9999"
"270","i","Type of address","Type of address","0","0","","2","","","","","-1","","","","","9999"
"270","j","Specialized telephone number","Specialized telephone number","1","0","","2","","","","","-1","","","","","9999"
"270","k","Telephone number","Telephone number","1","0","","2","","","","","-1","","","","","9999"
"270","l","Fax number","Fax number","1","0","","2","","","","","-1","","","","","9999"
"270","m","Electronic mail address","Electronic mail address","1","0","","2","","","","","-1","","","","","9999"
"270","n","TDD or TTY number","TDD or TTY number","1","0","","2","","","","","-1","","","","","9999"
"270","p","Contact person","Contact person","1","0","","2","","","","","-1","","","","","9999"
"270","q","Title of contact person","Title of contact person","1","0","","2","","","","","-1","","","","","9999"
"270","r","Hours","Hours","1","0","","2","","","","","-1","","","","","9999"
"270","z","Public note","Public note","1","0","","2","","","","","-1","","","","","9999"
"300","3","Materials specified","Materials specified","0","0","","3","","","","","-6","","","","","9999"
"300","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"300","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"300","a","Extent","Extent","1","0","biblioitems.pages","3","","","","","0","","","","","9999"
"300","b","Other physical details","Other physical details","0","0","biblioitems.illus","3","","","","0","0","","","","","9999"
"300","c","Dimensions","Dimensions","1","0","biblioitems.size","3","","","","","0","","","","","9999"
"300","d","Accompanying material [OBSOLETE, CAN/MARC]","Accompanying material [OBSOLETE, CAN/MARC]","0","0","","3","","","","","-6","","","","","9999"
"300","e","Accompanying material","Accompanying material","0","0","","3","","","","","0","","","","","9999"
"300","f","Type of unit","Type of unit","1","0","","3","","","","","0","","","","","9999"
"300","g","Size of unit","Size of unit","1","0","","3","","","","","0","","","","","9999"
"300","k","Speed [Videodiscs, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Speed [Videodiscs, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","","3","","","","","-6","","","","","9999"
"300","m","Identification/manufacturer number [pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Identification/manufacturer number [pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","","3","","","","","-6","","","","","9999"
"300","n","Matrix and/or take number [Sound recordings, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Matrix and/or take number [Sound recordings, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","","3","","","","","-6","","","","","9999"
"301","a","Extent of item","Extent of item","0","0","","3","","","","","-6","","","","","9999"
"301","b","Sound characteristics","Sound characteristics","0","0","","3","","","","","-6","","","","","9999"
"301","c","Color characteristics","Color characteristics","0","0","","3","","","","","-6","","","","","9999"
"301","d","Dimensions","Dimensions","0","0","","3","","","","","-6","","","","","9999"
"301","e","Sound characteristics","Sound characteristics","0","0","","3","","","","","-6","","","","","9999"
"301","f","Speed","Speed","0","0","","3","","","","","-6","","","","","9999"
"302","a","Page count","Page count","0","0","","3","","","","","-6","","","","","9999"
"303","a","Unit count","Unit count","0","0","","3","","","","","-6","","","","","9999"
"304","a","Linear footage","Linear footage","0","0","","3","","","","","-6","","","","","9999"
"305","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"305","a","Extent","Extent","0","0","","3","","","","","-6","","","","","9999"
"305","b","Other physical details","Other physical details","0","0","","3","","","","","-6","","","","","9999"
"305","c","Dimensions","Dimensions","0","0","","3","","","","","-6","","","","","9999"
"305","d","Microgroove or standard","Microgroove or standard","0","0","","3","","","","","-6","","","","","9999"
"305","e","Stereophonic, monaural","Stereophonic, monaural","0","0","","3","","","","","-6","","","","","9999"
"305","f","Number of tracks","Number of tracks","0","0","","3","","","","","-6","","","","","9999"
"305","m","Serial identification","Serial identification","0","0","","3","","","","","-6","","","","","9999"
"305","n","Matrix and/or take number","Matrix and/or take number","0","0","","3","","","","","-6","","","","","9999"
"306","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"306","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"306","a","Playing time","Playing time","0","0","","3","","","","","0","","","","","9999"
"307","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"307","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"307","a","Hours","Hours","0","0","","3","","","","","-6","","","","","9999"
"307","b","Additional information","Additional information","0","0","","3","","","","","-6","","","","","9999"
"308","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"308","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"308","a","Number of reels","Number of reels","0","0","","3","","","","","-6","","","","","9999"
"308","b","Footage","Footage","0","0","","3","","","","","-6","","","","","9999"
"308","c","Sound characteristics","Sound characteristics","0","0","","3","","","","","-6","","","","","9999"
"308","d","Color characteristics","Color characteristics","0","0","","3","","","","","-6","","","","","9999"
"308","e","Width","Width","0","0","","3","","","","","-6","","","","","9999"
"308","f","Presentation format","Presentation format","0","0","","3","","","","","-6","","","","","9999"
"310","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"310","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"310","a","Current publication frequency","Current publication frequency","0","0","","3","","","","","-1","","","","","9999"
"310","b","Date of current publication frequency","Date of current publication frequency","0","0","","3","","","","","-6","","","","","9999"
"315","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"315","a","Frequency","Frequency","1","0","","3","","","","","-6","","","","","9999"
"315","b","Dates of frequency","Dates of frequency","1","0","","3","","","","","-6","","","","","9999"
"321","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"321","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"321","a","Former publication frequency","Former publication frequency","0","0","","3","","","","","-6","","","","","9999"
"321","b","Former publication frequency","Former publication frequency","0","0","","3","","","","","-6","","","","","9999"
"340","3","Materials specified","Materials specified","0","0","","3","","","","","-6","","","","","9999"
"340","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"340","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"340","a","Material base and configuration","Material base and configuration","1","0","","3","","","","","-6","","","","","9999"
"340","b","Dimensions","Dimensions","1","0","","3","","","","","-6","","","","","9999"
"340","c","Materials applied to surface","Materials applied to surface","1","0","","3","","","","","-6","","","","","9999"
"340","d","Information recording technique","Information recording technique","1","0","","3","","","","","-6","","","","","9999"
"340","e","Support","Support","1","0","","3","","","","","-6","","","","","9999"
"340","f","Production rate/ratio","Production rate/ratio","1","0","","3","","","","","-6","","","","","9999"
"340","h","Location within medium","Location within medium","1","0","","3","","","","","-6","","","","","9999"
"340","i","Technical specifications of medium","Technical specifications of medium","1","0","","3","","","","","-6","","","","","9999"
"342","2","Reference method used","Reference method used","0","0","","3","","","","","-6","","","","","9999"
"342","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"342","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"342","a","Name","Name","1","0","","3","","","","","-6","","","","","9999"
"342","b","Coordinate or distance units","Coordinate or distance units","0","0","","3","","","","","-6","","","","","9999"
"342","c","Latitude resolution","Latitude resolution","0","0","","3","","","","","-6","","","","","9999"
"342","d","Longitude resolution","Longitude resolution","0","0","","3","","","","","-6","","","","","9999"
"342","e","Standard parallel or oblique line latitude","Standard parallel or oblique line latitude","1","0","","3","","","","","-6","","","","","9999"
"342","f","Oblique line longitude","Oblique line longitude","1","0","","3","","","","","-6","","","","","9999"
"342","g","Longitude of central meridian or projection center","Longitude of central meridian or projection center","0","0","","3","","","","","-6","","","","","9999"
"342","h","Latitude of projection origin or projection center","Latitude of projection origin or projection center","0","0","","3","","","","","-6","","","","","9999"
"342","i","False easting","False easting","0","0","","3","","","","","-6","","","","","9999"
"342","j","False northing","False northing","0","0","","3","","","","","-6","","","","","9999"
"342","k","Scale factor","Scale factor","0","0","","3","","","","","-6","","","","","9999"
"342","l","Height of perspective point above surface","Height of perspective point above surface","0","0","","3","","","","","-6","","","","","9999"
"342","m","Azimuthal angle","Azimuthal angle","0","0","","3","","","","","-6","","","","","9999"
"342","n","Azimuth measure point longitude or straight vertical longitude from pole","Azimuth measure point longitude or straight vertical longitude from pole","0","0","","3","","","","","-6","","","","","9999"
"342","o","Landsat number and path number","Landsat number and path number","0","0","","3","","","","","-6","","","","","9999"
"342","p","Zone identifier","Zone identifier","0","0","","3","","","","","-6","","","","","9999"
"342","q","Ellipsoid name","Ellipsoid name","0","0","","3","","","","","-6","","","","","9999"
"342","r","Semi-major axis","Semi-major axis","0","0","","3","","","","","-6","","","","","9999"
"342","s","Denominator of flattening ratio","Denominator of flattening ratio","0","0","","3","","","","","-6","","","","","9999"
"342","t","Vertical resolution","Vertical resolution","0","0","","3","","","","","-6","","","","","9999"
"342","u","Vertical encoding method","Vertical encoding method","0","0","","3","","","","","-6","","","","","9999"
"342","v","Local planar, local, or other projection or grid description","Local planar, local, or other projection or grid description","0","0","","3","","","","","-6","","","","","9999"
"342","w","Local planar or local georeference information","Local planar or local georeference information","0","0","","3","","","","","-6","","","","","9999"
"343","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"343","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"343","a","Planar coordinate encoding method","Planar coordinate encoding method","1","0","","3","","","","","-6","","","","","9999"
"343","b","Planar distance units","Planar distance units","0","0","","3","","","","","-6","","","","","9999"
"343","c","Abscissa resolution","Abscissa resolution","0","0","","3","","","","","-6","","","","","9999"
"343","d","Ordinate resolution","Ordinate resolution","0","0","","3","","","","","-6","","","","","9999"
"343","e","Distance resolution","Distance resolution","0","0","","3","","","","","-6","","","","","9999"
"343","f","Bearing resolution","Bearing resolution","0","0","","3","","","","","-6","","","","","9999"
"343","g","Bearing unit","Bearing unit","0","0","","3","","","","","-6","","","","","9999"
"343","h","Bearing reference direction","Bearing reference direction","0","0","","3","","","","","-6","","","","","9999"
"343","i","Bearing reference meridian","Bearing reference meridian","0","0","","3","","","","","-6","","","","","9999"
"350","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"350","a","Price","Price","1","0","","3","","","","","-6","","","","","9999"
"350","b","Form of issue","Form of issue","1","0","","3","","","","","-6","","","","","9999"
"351","3","Materials specified","Materials specified","0","0","","3","","","","","-6","","","","","9999"
"351","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"351","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"351","a","Organization","Organization","1","0","","3","","","","","-6","","","","","9999"
"351","b","Arrangement","Arrangement","1","0","","3","","","","","-6","","","","","9999"
"351","c","Hierarchical level","Hierarchical level","0","0","","3","","","","","-6","","","","","9999"
"352","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"352","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"352","a","Direct reference method","Direct reference method","0","0","","3","","","","","-6","","","","","9999"
"352","b","Object type","Object type","1","0","","3","","","","","-6","","","","","9999"
"352","c","Object count","Object count","1","0","","3","","","","","-6","","","","","9999"
"352","d","Row count","Row count","0","0","","3","","","","","-6","","","","","9999"
"352","e","Column count","Column count","0","0","","3","","","","","-6","","","","","9999"
"352","f","Vertical count","Vertical count","0","0","","3","","","","","-6","","","","","9999"
"352","g","VPF topology level","VPF topology level","0","0","","3","","","","","-6","","","","","9999"
"352","i","Indirect reference description","Indirect reference description","0","0","","3","","","","","-6","","","","","9999"
"355","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"355","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"355","a","Security classification","Security classification","0","0","","3","","","","","-6","","","","","9999"
"355","b","Handling instructions","Handling instructions","1","0","","3","","","","","-6","","","","","9999"
"355","c","External dissemination information","External dissemination information","1","0","","3","","","","","-6","","","","","9999"
"355","d","Downgrading or declassification event","Downgrading or declassification event","0","0","","3","","","","","-6","","","","","9999"
"355","e","Classification system","Classification system","0","0","","3","","","","","-6","","","","","9999"
"355","f","Country of origin code","Country of origin code","0","0","","3","","","","","-6","","","","","9999"
"355","g","Downgrading date","Downgrading date","0","0","","3","","","","","-6","","","","","9999"
"355","h","Declassification date","Declassification date","0","0","","3","","","","","-6","","","","","9999"
"355","j","Authorization","Authorization","1","0","","3","","","","","-6","","","","","9999"
"357","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"357","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"357","a","Originator control term","Originator control term","0","0","","3","","","","","-6","","","","","9999"
"357","b","Originating agency","Originating agency","1","0","","3","","","","","-6","","","","","9999"
"357","c","Authorized recipients of material","Authorized recipients of material","1","0","","3","","","","","-6","","","","","9999"
"357","g","Other restrictions","Other restrictions","1","0","","3","","","","","-6","","","","","9999"
"359","a","Rental price","Rental price","0","0","","3","","","","","-6","","","","","9999"
"362","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"362","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"362","a","Dates of publication and/or sequential designation","Dates of publication and/or sequential designation","0","0","biblioitems.volumedesc","3","","","","","-1","","","","","9999"
"362","z","Source of information","Source of information","0","0","","3","","","","","-6","","","","","9999"
"365","2","Source of price type code","Source of price type code","0","0","","3","","","","","-1","","","","","9999"
"365","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"365","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"365","a","Price type code","Price type code","0","0","","3","","","","","-1","","","","","9999"
"365","b","Price amount","Price amount","0","0","","3","","","","","-1","","","","","9999"
"365","c","Price type code","Price type code","0","0","","3","","","","","-1","","","","","9999"
"365","d","Unit of pricing","Unit of pricing","0","0","","3","","","","","-1","","","","","9999"
"365","e","Price note","Price note","0","0","","3","","","","","-1","","","","","9999"
"365","f","Price effective from","Price effective from","0","0","","3","","","","","-1","","","","","9999"
"365","g","Price effective until","Price effective until","0","0","","3","","","","","-1","","","","","9999"
"365","h","Tax rate 1","Tax rate 1","0","0","","3","","","","","-1","","","","","9999"
"365","i","Tax rate 2","Tax rate 2","0","0","","3","","","","","-1","","","","","9999"
"365","j","ISO country code","ISO country code","0","0","","3","","","","","-1","","","","","9999"
"365","k","MARC country code","MARC country code","0","0","","3","","","","","-1","","","","","9999"
"365","m","Identification of pricing entity","Identification of pricing entity","0","0","","3","","","","","-1","","","","","9999"
"366","2","Source of availability status code","Source of availability status code","0","0","","3","","","","","-1","","","","","9999"
"366","6","Linkage","Linkage","0","0","","3","","","","","-6","","","","","9999"
"366","8","Field link and sequence number","Field link and sequence number","1","0","","3","","","","","-6","","","","","9999"
"366","a","Publishers' compressed title identification","Publishers' compressed title identification","0","0","","3","","","","","-1","","","","","9999"
"366","b","Detailed date of publication","Detailed date of publication","0","0","","3","","","","","-1","","","","","9999"
"366","c","Availability status code","Availability status code","0","0","","3","","","","","-1","","","","","9999"
"366","d","Expected next availability date","Expected next availability date","0","0","","3","","","","","-1","","","","","9999"
"366","e","Note","Note","0","0","","3","","","","","-1","","","","","9999"
"366","f","Publishers' discount category","Publishers' discount category","0","0","","3","","","","","-1","","","","","9999"
"366","g","Date made out of print","Date made out of print","0","0","","3","","","","","-1","","","","","9999"
"366","j","ISO country code","ISO country code","0","0","","3","","","","","-1","","","","","9999"
"366","k","MARC country code","MARC country code","0","0","","3","","","","","-1","","","","","9999"
"366","m","Identification of agency","Identification of agency","0","0","","3","","","","","-1","","","","","9999"
"400","4","Relator code","Relator code","1","0","","4","","","","0","-6","","","","","9999"
"400","6","Linkage","Linkage","0","0","","4","","","","0","-6","","","","","9999"
"400","8","Field link and sequence number","Field link and sequence number","1","0","","4","","","","0","-6","","","","","9999"
"400","9","9 (RLIN)","9 (RLIN)","0","0","","4","","","","0","-5","","","","","9999"
"400","a","Personal name","Personal name","0","0","","4","","","","0","-6","","","","","9999"
"400","b","Numeration","Numeration","0","0","","4","","","","0","-6","","","","","9999"
"400","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","","4","","","","0","-6","","","","","9999"
"400","d","Dates associated with a name","Dates associated with a name","0","0","","4","","","","0","-6","","","","","9999"
"400","e","Relator term","Relator term","1","0","","4","","","","0","-6","","","","","9999"
"400","f","Date of a work","Date of a work","0","0","","4","","","","0","-6","","","","","9999"
"400","g","Miscellaneous information","Miscellaneous information","0","0","","4","","","","0","-6","","","","","9999"
"400","k","Form subheading","Form subheading","1","0","","4","","","","0","-6","","","","","9999"
"400","l","Language of a work","Language of a work","0","0","","4","","","","0","-6","","","","","9999"
"400","n","Number of part/section of a work","Number of part/section of a work","1","0","","4","","","","0","-6","","","","","9999"
"400","p","Name of part/section of a work","Name of part/section of a work","1","0","","4","","","","0","-6","","","","","9999"
"400","q","Fuller form of name","Fuller form of name","0","0","","4","","","","0","-6","","","","","9999"
"400","t","Title of a work","Title of a work","0","0","","4","","","","0","-6","","","","","9999"
"400","u","Affiliation","Affiliation","0","0","","4","","","","0","-6","","","","","9999"
"400","v","Volume number/sequential designation","Volume number/sequential designation","0","0","","4","","","","","-6","","","","","9999"
"400","x","International Standard Serial Number","International Standard Serial Number","0","0","","4","","","","","-6","","","","","9999"
"410","4","Relator code","Relator code","1","0","","4","","","","","-6","","","","","9999"
"410","6","Linkage","Linkage","0","0","","4","","","","","-6","","","","","9999"
"410","8","Field link and sequence number","Field link and sequence number","1","0","","4","","","","","-6","","","","","9999"
"410","9","9 (RLIN)","9 (RLIN)","0","0","","4","","","","0","-6","","","","","9999"
"410","a","Corporate name or jurisdiction name as entry element","Corporate name or jurisdiction name as entry element","0","0","","4","","","","","-6","","","","","9999"
"410","b","Subordinate unit","Subordinate unit","1","0","","4","","","","","-6","","","","","9999"
"410","c","Location of meeting","Location of meeting","0","0","","4","","","","","-6","","","","","9999"
"410","d","Date of meeting or treaty signing","Date of meeting or treaty signing","1","0","","4","","","","","-6","","","","","9999"
"410","e","Relator term","Relator term","1","0","","4","","","","","-6","","","","","9999"
"410","f","Date of a work","Date of a work","0","0","","4","","","","","-6","","","","","9999"
"410","g","Miscellaneous information","Miscellaneous information","0","0","","4","","","","","-6","","","","","9999"
"410","k","Form subheading","Form subheading","1","0","","4","","","","","-6","","","","","9999"
"410","l","Language of a work","Language of a work","0","0","","4","","","","","-6","","","","","9999"
"410","n","Number of part/section/meeting","Number of part/section/meeting","1","0","","4","","","","","-6","","","","","9999"
"410","p","Name of part/section of a work","Name of part/section of a work","1","0","","4","","","","","-6","","","","","9999"
"410","t","Title of a work","Title of a work","0","0","","4","","","","","-6","","","","","9999"
"410","u","Affiliation","Affiliation","0","0","","4","","","","","-6","","","","","9999"
